onset	duration	total_event_number	stream_number	event_num_per_stream	timing_predictability	target_col	target_ori	n_targets	n_distractors	is_target	ori_pair_num	att_ori	unatt_ori	gabor_phase_att	gabor_phase_unatt	blank_dur	response	rt	correct	time_stimon	time_stimoff	stim_dur	ISI_dur
18247.75	100	0	0	0	2	1	0	1	1	3	2	157.5	112.5	-0.523596485827087	-1.02173016913175	0.25	1	0	0	62.4316795484629	62.5316763545852	0.0999968061223626	-1
18343.5	100	1	0	1	2	1	0	1	1	3	1	112.5	67.5	1.11599293492758	2.52094089329375	0.283333333333333	0	0	0	62.8150294485968	62.9149831004906	0.0999536518938839	0.283353094011545
18401.75	100	2	0	2	2	1	0	1	1	3	1	112.5	157.5	-2.08672652647141	-0.650492194963156	0.133333333333333	0	0	0	63.0483452519402	63.1483254791237	0.0999802271835506	0.133362151449546
18493.5	100	3	0	3	2	1	0	1	1	3	1	22.5	157.5	1.43465247591874	-2.41416752905307	0.266666666666667	0	0	0	63.4150161365978	63.5150129427202	0.0999968061223626	0.266690657474101
18543.5	100	4	0	4	2	1	0	1	1	0	1	112.5	67.5	1.04781123485217	-1.36540543787836	0.1	0	0	0	63.615032910835	63.7150177701842	0.0999848593492061	0.100019968114793
18622.75	100	5	0	5	2	1	0	1	1	0	2	67.5	112.5	2.66823817863596	0.0233459027774723	0.216666666666667	0	0	0	63.9317286759615	64.0317142668646	0.0999855909030885	0.21671090577729
18714.25	100	6	0	6	2	1	0	1	1	0	1	22.5	157.5	1.85550633944386	-2.85167817030551	0.266666666666667	0	0	0	64.2984071187675	64.3983615019824	0.0999543832149357	0.266692851902917
18789.25	100	7	0	7	2	1	0	1	1	0	1	22.5	67.5	1.47512782624178	-2.09657655095405	0.2	0	0	0	64.5984126531985	64.6983967812266	0.0999841280281544	0.20005115121603
18868.5	100	8	0	8	2	1	0	1	1	0	1	22.5	67.5	-0.644627373104291	-2.43695282514543	0.216666666666667	0	0	0	64.9150586815085	65.0150413464289	0.0999826649203897	0.216661900281906
18968.5	100	9	0	9	2	1	0	1	1	0	2	157.5	22.5	-1.96218105301256	3.0030041233597	0.3	0	0	0	65.315079551423	65.4150602661539	0.0999807147309184	0.300038204994053
19060.25	100	10	0	10	2	1	0	1	1	0	1	112.5	157.5	1.59314688471207	2.53830086947881	0.266666666666667	0	0	0	65.6817477541044	65.7817345641088	0.0999868100043386	0.266687487950549
19110.25	100	11	0	11	2	1	0	1	1	0	1	22.5	157.5	-2.16537607267548	1.77881909094869	0.1	0	0	0	65.8817833017092	65.9817347591743	0.0999514574650675	0.100048737600446
19210.25	100	12	0	12	2	1	0	1	1	0	1	112.5	157.5	-0.0738912092401613	-0.853414937961643	0.3	0	0	0	66.2817688193172	66.3817541664466	0.0999853471294045	0.300034060142934
19297.75	100	13	0	13	2	1	0	1	1	0	1	112.5	67.5	-0.90690446030485	2.95516880606987	0.25	0	0	0	66.6317953092512	66.7317855325527	0.0999902233015746	0.250041142804548
19356	100	14	0	14	2	1	0	1	1	0	2	157.5	112.5	-0.770895301493749	-1.49635258393373	0.133333333333333	0	0	0	66.8651354936883	66.9657822961453	0.100646802457049	0.133349961135536
19435.25	100	15	0	15	2	1	0	1	1	0	2	67.5	22.5	0.829241805636123	0.646694710088186	0.216666666666667	0	0	0	67.1817893236876	67.281774670817	0.0999853471294045	0.216007027542219
19493.5	100	16	0	16	2	1	0	1	1	0	1	22.5	157.5	0.554672581616309	0.317409036171417	0.133333333333333	0	0	0	67.4151270699222	67.5151068093255	0.0999797394033521	0.133352399105206
