onset	duration	total_event_number	stream_number	event_num_per_stream	timing_predictability	target_col	target_ori	n_targets	n_distractors	is_target	ori_pair_num	att_ori	unatt_ori	gabor_phase_att	gabor_phase_unatt	blank_dur	response	rt	correct	time_stimon	time_stimoff	stim_dur	ISI_dur
12298	100	0	0	0	2	2	0	1	1	3	2	157.5	112.5	-2.65047982601542	-2.4192579318714	0.2	0	0	0	239.99770185072	240.097658671904	0.0999568211846054	-1
12360.5	100	1	0	1	2	2	0	1	1	3	2	67.5	112.5	2.05717138032956	1.96318588764299	0.15	0	0	0	240.24771007942	240.347699570935	0.0999894915148616	0.150051407516003
12460.5	100	2	0	2	2	2	0	1	1	3	2	67.5	22.5	-1.86023702200397	-2.35482233656353	0.3	0	0	0	240.64770022966	240.747684113681	0.0999838840216398	0.300000658724457
12531.5	100	3	0	3	2	2	0	1	1	3	1	112.5	67.5	0.369854648326305	0.948784277287178	0.183333333333333	0	0	0	240.931039426476	241.031015264802	0.0999758383259177	0.183355312794447
12602.25	100	4	0	4	2	2	0	1	1	0	2	157.5	22.5	1.60544940602716	1.68873697351419	0.183333333333333	0	0	0	241.214419583324	241.314390301704	0.0999707183800638	0.183404318522662
12669	100	5	0	5	2	2	0	1	1	0	2	157.5	22.5	2.55884342686436	0.78369087085538	0.166666666666667	0	0	0	241.481080008671	241.581058772746	0.0999787640757859	0.166689706966281
12744	100	6	0	6	2	2	0	1	1	0	2	67.5	22.5	0.606916492155676	1.92385503370637	0.2	0	0	0	241.781084080227	241.881040169857	0.099956089630723	0.200025307480246
12823	100	7	0	7	2	2	0	1	1	0	1	112.5	157.5	-1.78744195295998	0.572893449889141	0.216666666666667	0	0	0	242.09775936557	242.197745443787	0.0999860782176256	0.216719195712358
12885.5	100	8	0	8	2	2	0	1	1	0	2	67.5	22.5	-2.93621689345936	-3.09363707713482	0.15	0	0	0	242.347767837811	242.447751721833	0.0999838840216398	0.150022394023836
12939.75	100	9	0	9	2	2	0	1	1	0	2	67.5	112.5	-0.148930953803031	-1.45951820218828	0.116666666666667	0	0	0	242.564408038743	242.664423374459	0.100015335716307	0.116656316909939
13027.25	100	10	0	10	2	2	0	1	1	0	2	157.5	112.5	1.22920813038219	2.97841321687244	0.25	0	0	0	242.914433553815	243.014440599829	0.100007046014071	0.250010179355741
13081.5	100	11	0	11	2	2	0	1	1	0	2	157.5	22.5	2.38378308431062	1.58532276169694	0.116666666666667	0	0	0	243.131118615624	243.231080313213	0.099961697589606	0.116678015794605
13131.5	100	12	0	12	2	2	0	1	1	0	1	112.5	67.5	2.18649023970968	-1.37076454160376	0.1	0	0	0	243.331126856618	243.431116348132	0.0999894915148616	0.10004654340446
13198	100	13	0	13	2	2	0	1	1	0	1	112.5	157.5	-2.69693317054873	0.486719180298971	0.166666666666667	0	0	0	243.597800935153	243.697817733511	0.100016798358411	0.166684587020427
13248	100	14	0	14	2	2	0	1	1	0	2	157.5	112.5	-2.03520828010406	-0.707311168280179	0.1	0	0	0	243.797788695898	243.898486698512	0.100698002614081	0.0999709623865783
