onset	duration	total_event_number	stream_number	event_num_per_stream	timing_predictability	target_col	target_ori	n_targets	n_distractors	is_target	ori_pair_num	att_ori	unatt_ori	gabor_phase_att	gabor_phase_unatt	blank_dur	response	rt	correct	time_stimon	time_stimoff	stim_dur	ISI_dur
8393	100	0	0	0	2	1	0	2	2	3	2	157.5	22.5	-0.687417798087187	-2.30052964170561	0.233333333333333	0	0	0	64.6285926260753	64.728555298876	0.099962672800757	-1
8451.5	100	1	0	1	2	1	0	2	2	3	2	67.5	112.5	1.30943567416972	1.37278624247343	0.133333333333333	0	0	0	64.8622114849277	64.9618935327744	0.0996820478467271	0.133656186051667
8526.5	100	2	0	2	2	1	0	2	2	3	2	157.5	112.5	2.42001042607116	3.0833269736976	0.2	0	0	0	65.1619195716921	65.2619002863066	0.0999807146145031	0.200026038917713
8580.5	100	3	0	3	2	1	0	2	2	3	1	22.5	67.5	-1.07181933918323	-1.78502717713755	0.116666666666667	0	0	0	65.378593662288	65.4785751084564	0.0999814461683854	0.116693375981413
8651.5	100	4	0	4	2	1	0	2	2	0	2	157.5	112.5	-2.05755132609118	-1.42606792999939	0.183333333333333	0	0	0	65.6619333468843	65.7619155243738	0.0999821774894372	0.1833582384279
8751.5	100	5	0	5	2	1	0	2	2	0	1	112.5	157.5	-1.33839181875097	-2.14266153233012	0.3	0	0	0	66.061952510383	66.1619129887549	0.0999604783719406	0.300036986009218
8805.75	100	6	0	6	2	1	0	2	2	0	2	157.5	22.5	-2.161301756362	2.4360997422034	0.116666666666667	0	0	0	66.2786161171971	66.3785997575615	0.0999836403643712	0.116703128442168
8905.75	100	7	0	7	2	1	0	2	2	0	2	157.5	22.5	3.05794023348443	-0.195468738258899	0.3	0	0	0	66.6786289415322	66.7786091685994	0.0999802270671353	0.300029183970764
8980.75	100	8	0	8	2	1	0	2	2	0	1	22.5	157.5	2.94592671707431	1.58541926635635	0.2	0	0	0	66.9786342321895	67.0786210421938	0.0999868100043386	0.200025063590147
9064	100	9	0	9	2	1	0	2	2	0	2	67.5	22.5	-0.479344929636381	2.1753495109992	0.233333333333333	0	0	0	67.3119775617961	67.4119614459341	0.0999838841380551	0.233356519602239
9122.25	100	10	0	10	2	1	0	2	2	0	1	112.5	67.5	-1.07540715969233	-1.97710216842891	0.133333333333333	0	0	0	67.5453172585694	67.645305775106	0.0999885165365413	0.133355812635273
9218.25	100	11	0	11	2	1	0	2	2	0	1	22.5	67.5	-1.57958667546095	-2.26041020772143	0.283333333333333	0	0	0	67.9286596006714	68.0286256867694	0.099966086097993	0.283353825565428
9293.25	100	12	0	12	2	1	0	2	2	0	2	157.5	22.5	0.0890073185491027	-2.29096864994774	0.2	0	0	0	68.2286678169621	68.3286565773888	0.0999887604266405	0.200042130192742
9380.75	100	13	0	13	2	1	0	2	2	0	2	157.5	22.5	-2.07617858611459	-1.45370535577436	0.25	0	0	0	68.5786796783796	68.6786603929941	0.0999807146145031	0.250023100990802
9434.75	100	14	0	14	2	1	0	2	2	0	1	112.5	157.5	-2.15192078036652	0.317927846861076	0.116666666666667	0	0	0	68.795352306217	68.8960507963784	0.100698490161449	0.116691913222894
9484.75	100	15	0	15	2	1	0	2	2	0	1	22.5	157.5	2.81100854469684	-0.766508618726773	0.1	0	0	0	68.9953693241114	69.0953383358428	0.0999690117314458	0.0993185277329758
