onset	duration	total_event_number	stream_number	event_num_per_stream	timing_predictability	target_col	target_ori	n_targets	n_distractors	is_target	ori_pair_num	att_ori	unatt_ori	gabor_phase_att	gabor_phase_unatt	blank_dur	response	rt	correct	time_stimon	time_stimoff	stim_dur	ISI_dur
23791.75	100	0	0	0	2	1	90	2	2	3	2	67.5	112.5	1.7731341444488	0.476874559495723	0.2	0	0	0	109.828865400283	109.928850747179	0.0999853468965739	-1
23850	100	1	0	1	2	1	90	2	2	3	1	22.5	157.5	-2.51468083051414	0.883392201907816	0.133333333333333	0	0	0	110.062226552283	110.162169720279	0.0999431679956615	0.133375805104151
23945.75	100	2	0	2	2	1	90	2	2	3	1	112.5	67.5	-1.7429343589267	-3.07219635873821	0.283333333333333	0	0	0	110.445540368557	110.545522789937	0.0999824213795364	0.283370648277923
24012.5	100	3	0	3	2	1	90	2	2	3	2	157.5	112.5	-1.29962557511408	1.96383345789052	0.166666666666667	0	0	0	110.712214690866	110.812195405597	0.0999807147309184	0.166691900929436
24091.75	100	4	0	4	2	1	90	2	2	0	1	22.5	67.5	-2.0314547020346	-1.07398774059317	0.216666666666667	0	0	0	111.028901678976	111.128865326988	0.0999636480119079	0.216706273378804
24145.75	100	5	0	5	2	1	90	2	2	0	2	157.5	22.5	1.56706217334165	2.22832665352484	0.116666666666667	0	0	0	111.24556845543	111.345549413934	0.0999809585046023	0.116703128442168
24212.5	100	6	0	6	2	1	90	2	2	0	1	22.5	67.5	-2.45666307190233	-0.537202373520058	0.166666666666667	0	0	0	111.51224399684	111.612207400845	0.0999634040053934	0.16669458290562
24287.5	100	7	0	7	2	1	90	2	2	0	2	157.5	112.5	-2.82192070763642	2.58416388633507	0.2	0	0	0	111.812221493106	111.912217323901	0.0999958307947963	0.200014092260972
24375	100	8	0	8	2	1	90	2	2	0	2	67.5	112.5	0.350936201321054	-3.13872894489318	0.25	0	0	0	112.162257247837	112.262245520484	0.0999882726464421	0.250039923936129
24462.5	100	9	0	9	2	1	90	2	2	0	1	22.5	157.5	1.48390597639783	3.01842799733985	0.25	0	0	0	112.512250579661	112.612250311533	0.0999997318722308	0.250005059177056
24541.75	100	10	0	10	2	1	90	2	2	0	2	157.5	112.5	2.04252285970227	-2.53939595456392	0.216666666666667	0	0	0	112.828945613466	112.928924134001	0.0999785205349326	0.216695301933214
24608.25	100	11	0	11	2	1	90	2	2	0	1	112.5	157.5	0.373711090358943	0.0689743732841155	0.166666666666667	0	0	0	113.095613596728	113.195596018108	0.0999824213795364	0.166689462726936
24670.75	100	12	0	12	2	1	90	2	2	0	2	67.5	22.5	-1.08848767064661	-0.116016616877322	0.15	0	0	0	113.34562304453	113.445606441004	0.099983396474272	0.150027026422322
24737.5	100	13	0	13	2	1	90	2	2	0	2	67.5	22.5	2.39955478482853	3.05558864796099	0.166666666666667	0	0	0	113.612283469643	113.712278568884	0.099995099240914	0.166677028639242
24795.75	100	14	0	14	2	1	90	2	2	0	1	22.5	157.5	1.48376096365863	1.36247186843718	0.133333333333333	0	0	0	113.845636088168	113.946058098227	0.100422010058537	0.133357519283891
24887.5	100	15	0	15	2	1	90	2	2	0	1	22.5	67.5	-0.132640085283591	3.02790722619146	0.266666666666667	0	0	0	114.212297464255	114.3122962208	0.0999987565446645	0.266239366028458
24987.5	100	16	0	16	2	1	90	2	2	0	1	22.5	157.5	0.394831651969025	2.54944129236364	0.3	0	0	0	114.612324185669	114.71231026412	0.0999860784504563	0.300027964869514
25087.5	100	17	0	17	2	1	90	2	2	0	2	67.5	112.5	2.73979483389622	-0.470494092195924	0.3	0	0	0	115.012337741675	115.11230114568	0.0999634040053934	0.300027477554977
25145.75	100	18	0	18	2	1	90	2	2	0	1	112.5	67.5	3.12498486497639	-2.21317643196369	0.133333333333333	0	0	0	115.245674512582	115.345656933961	0.0999824213795364	0.133373366901651
25241.75	100	19	0	19	2	1	90	2	2	0	2	67.5	22.5	2.70959653769066	-2.22477835151068	0.283333333333333	0	0	0	115.629019048996	115.729009516072	0.0999904670752585	0.283362115034834
25329.25	100	20	0	20	2	1	90	2	2	3	1	22.5	157.5	-2.30810230004285	1.31592963108649	0.25	0	0	0	115.979037737008	116.079015525989	0.0999777889810503	0.250028220936656
25395.75	100	21	0	21	2	1	90	2	2	3	1	112.5	67.5	-1.08799552521988	2.83530745405555	0.166666666666667	0	0	0	116.245690116426	116.345690823393	0.100000706966966	0.166674590436742
25491.75	100	22	0	22	2	1	90	2	2	3	2	157.5	112.5	-0.57917141285657	1.03673351453786	0.283333333333333	0	0	0	116.629036115715	116.729037310462	0.100001194747165	0.283345292322338
25583.25	100	23	0	23	2	1	90	2	2	1	-1	90	45	-2.07997799548868	-0.966177015771616	0.266666666666667	0	0	0	116.995728455484	117.095708682435	0.09998022695072	0.266691145021468
