onset	duration	total_event_number	stream_number	event_num_per_stream	timing_predictability	target_col	target_ori	n_targets	n_distractors	is_target	ori_pair_num	att_ori	unatt_ori	gabor_phase_att	gabor_phase_unatt	blank_dur	response	rt	correct	time_stimon	time_stimoff	stim_dur	ISI_dur
10640	100	0	0	0	1	2	0	1	2	3	1	22.5	67.5	-0.707029941828701	-1.0703551938722	0.2	0	0	0	95.7834619549103	95.8834197516553	0.0999577967450023	-1
10715	100	1	0	1	1	2	0	1	2	3	1	112.5	67.5	-0.439147118755236	-0.80491628408494	0.2	0	0	0	96.083463344723	96.1834243107587	0.0999609660357237	0.200043593067676
10790	100	2	0	2	1	2	0	1	2	3	2	67.5	22.5	2.70131544409519	-2.04440529721609	0.2	0	0	0	96.3834466924891	96.4834076585248	0.0999609660357237	0.200022381730378
10865	100	3	0	3	1	2	0	1	2	3	2	157.5	112.5	0.454304734146279	2.40824609961835	0.2	0	0	0	96.6834307718091	96.7834175815806	0.099986809771508	0.20002311328426
10940	100	4	0	4	1	2	0	1	2	0	1	22.5	67.5	2.79060733150595	0.652001990983765	0.2	0	0	0	96.9834714147728	97.0834494475275	0.0999780327547342	0.200053833192214
11015	100	5	0	5	1	2	0	1	2	0	1	22.5	67.5	-2.10200461692188	0.150386946285212	0.2	0	0	0	97.2834552503191	97.3834249933716	0.0999697430524975	0.200005802791566
11090	100	6	0	6	1	2	0	1	2	0	2	67.5	22.5	-1.28048373762228	1.59931914860782	0.2	0	0	0	97.5834566398989	97.683432234684	0.0999755947850645	0.20003164652735
11165	100	7	0	7	1	2	0	1	2	0	2	157.5	22.5	-0.180773147541247	-2.58422270042174	0.2	0	0	0	97.8834943573456	97.9834716585465	0.0999773012008518	0.20006212266162
11240	100	8	0	8	1	2	0	1	2	0	1	112.5	67.5	2.51765676527168	-0.885807251776194	0.2	0	0	0	98.1834684403148	98.2834537874442	0.0999853471294045	0.199996781768277
11315	100	9	0	9	1	2	0	1	2	0	2	67.5	112.5	-1.16215584715836	1.96598175846979	0.2	0	0	0	98.4834890910424	98.5834988190327	0.100009727990255	0.20003530359827
11390	100	10	0	10	1	2	0	1	2	0	2	67.5	112.5	-0.502722948899723	-2.52334076138458	0.2	0	0	0	98.7834838978015	98.8834670507349	0.0999831529334188	0.199985078768805
11465	100	11	0	11	1	2	0	1	2	0	2	157.5	22.5	-1.78921239967494	-1.99553033783981	0.2	0	0	0	99.0834986970294	99.1834794117603	0.0999807147309184	0.200031646294519
11540	100	12	0	12	1	2	0	1	2	0	2	67.5	22.5	1.89373493973799	3.06014619903527	0.2	0	0	0	99.3835032563657	99.4834915290121	0.0999882726464421	0.200023844605312
11615	100	13	0	13	1	2	0	1	2	0	2	157.5	22.5	1.89189454583547	1.01164060122937	0.2	0	0	0	99.6835104974452	99.7834970636759	0.0999865662306547	0.200018968433142
11690	100	14	0	14	1	2	0	1	2	0	1	112.5	157.5	-1.01454207118053	3.09457647659085	0.2	0	0	0	99.9835226149298	100.084017036483	0.100494421552867	0.20002555125393
11765	100	15	0	15	1	2	0	1	2	0	1	22.5	157.5	-0.677441365067252	-2.65842743129328	0.2	0	0	0	100.283526198938	100.383506425889	0.09998022695072	0.199509162455797
11840	100	16	0	16	1	2	0	1	2	0	2	157.5	22.5	-0.022679533577461	2.67479431199795	0.2	0	0	0	100.583537340863	100.68351781182	0.0999804709572345	0.200030914973468
11915	100	17	0	17	1	2	0	1	2	0	1	22.5	157.5	2.25321006508999	3.05600244830576	0.2	0	0	0	100.883547995472	100.983516032109	0.0999680366367102	0.200030183652416
11990	100	18	0	18	1	2	0	1	2	0	1	22.5	67.5	-1.38179218133444	-2.06075246575731	0.2	0	0	0	101.18355328613	101.283567158971	0.100013872841373	0.200037254020572
12065	100	19	0	19	1	2	0	1	2	0	2	67.5	22.5	0.803374391603157	-0.131125786504774	0.2	0	0	0	101.483566378709	101.583546118112	0.0999797394033521	0.199999219737947
12140	100	20	0	20	1	2	0	1	2	0	2	157.5	22.5	-1.93988592158427	2.42735895916779	0.2	0	0	0	101.783598975977	101.883553115418	0.0999541394412518	0.200052857864648
12215	100	21	0	21	1	2	0	1	2	0	2	157.5	22.5	-0.660992457306952	-1.74564445395798	0.2	0	0	0	102.083579398226	102.183556211879	0.099976813653484	0.200026282807812
12290	100	22	0	22	1	2	0	1	2	0	2	157.5	112.5	0.751128388801311	1.8012443501641	0.2	0	0	0	102.383584444877	102.483566134935	0.0999816900584847	0.200028232997283
12365	100	23	0	23	1	2	0	1	2	0	2	67.5	22.5	1.67648122562508	1.0069675834707	0.2	0	0	0	102.683623137651	102.783614336047	0.0999911983963102	0.200057002715766
12440	100	24	0	24	1	2	0	1	2	0	2	157.5	112.5	-1.44864141879483	2.21654854017066	0.2	0	0	0	102.983623064356	103.083602072438	0.0999790080823004	0.200008728308603
12515	100	25	0	25	1	2	0	1	2	0	1	22.5	157.5	2.23878026666137	1.17972665056096	0.2	0	0	0	103.283642008435	103.383621260291	0.0999792518559843	0.200039935996756
12590	100	26	0	26	1	2	0	1	2	0	1	112.5	157.5	2.3252806281187	2.39413493581727	0.2	0	0	0	103.583650224842	103.683630695567	0.0999804707244039	0.200028964551166
12665	100	27	0	27	1	2	0	1	2	0	2	67.5	22.5	1.18031356061161	-1.64975294619675	0.2	0	0	0	103.883637473453	103.983618919738	0.0999814462848008	0.200006777886301
12740	100	28	0	28	1	2	0	1	2	0	2	67.5	112.5	-0.22257385391192	-0.0638639952100015	0.2	0	0	0	104.183645202313	104.283617871348	0.0999726690351963	0.200026282574981
12815	100	29	0	29	1	2	0	1	2	0	1	112.5	157.5	-0.174777667006896	-1.75225793481141	0.2	0	0	0	104.483675361611	104.583638034295	0.0999626726843417	0.200057490263134
12890	100	30	0	30	1	2	0	1	2	0	2	67.5	112.5	-0.604906564295447	-0.831785576218361	0.2	0	0	0	104.783685284667	104.883642837405	0.0999575527384877	0.200047250371426
12965	100	31	0	31	1	2	0	1	2	0	2	157.5	22.5	-0.688371480850712	1.54360956612662	0.2	0	0	0	105.083670582855	105.183630086016	0.0999595031607896	0.200027745449916
