onset	duration	total_event_number	stream_number	event_num_per_stream	timing_predictability	target_col	target_ori	n_targets	n_distractors	is_target	ori_pair_num	att_ori	unatt_ori	gabor_phase_att	gabor_phase_unatt	blank_dur	response	rt	correct	time_stimon	time_stimoff	stim_dur	ISI_dur
5916	100	0	0	0	1	1	0	2	2	3	1	112.5	157.5	2.49783076918994	0.95004352347532	0.2	0	0	0	42.4128179491963	42.5127616047394	0.0999436555430293	-1
5991	100	1	0	1	1	1	0	2	2	3	2	67.5	22.5	1.5605114929648	1.91209260655561	0.2	0	0	0	42.7127991027664	42.8127590934746	0.0999599907081574	0.200037498027086
6066	100	2	0	2	1	1	0	2	2	3	1	22.5	67.5	-2.82643929762942	-2.73911394899099	0.2	0	0	0	43.0127817189787	43.1127648719121	0.0999831529334188	0.200022625504062
6141	100	3	0	3	1	1	0	2	2	3	1	22.5	157.5	3.07102900943568	0.294154172190255	0.2	0	0	0	43.3127952993382	43.4127713814378	0.0999760820996016	0.2000304274261
6216	100	4	0	4	1	1	0	2	2	0	1	22.5	157.5	2.79260782608644	1.8099524210197	0.2	0	0	0	43.6128071728162	43.7127805731725	0.099973400356248	0.200035791378468
6291	100	5	0	5	1	1	0	2	2	0	2	67.5	112.5	-2.67975162566936	-2.61351502354886	0.2	0	0	0	43.9128144138958	44.0127912275493	0.099976813653484	0.200033840723336
6366	100	6	0	6	1	1	0	2	2	0	2	157.5	22.5	2.54815121451236	-2.62842855165262	0.2	0	0	0	44.2128192170057	44.3128011506051	0.0999819335993379	0.20002798945643
6441	100	7	0	7	1	1	0	2	2	0	1	112.5	157.5	-0.442865668875186	1.48949141764755	0.2	0	0	0	44.5128705876414	44.6128076603636	0.0999370727222413	0.200069437036291
6516	100	8	0	8	1	1	0	2	2	0	1	112.5	157.5	-0.140690294558	2.5074424451951	0.2	0	0	0	44.8128322365228	44.9128117319196	0.0999794953968376	0.200024576159194
6591	100	9	0	9	1	1	0	2	2	0	1	22.5	157.5	2.97300268575264	-2.60940744490735	0.2	0	0	0	45.1128733670339	45.2128216549754	0.0999482879415154	0.200061635114253
6666	100	10	0	10	1	1	0	2	2	0	2	157.5	22.5	-1.6103282566802	0.842751183385436	0.2	0	0	0	45.4128528139554	45.512863029493	0.100010215537623	0.200031158979982
6741	100	11	0	11	1	1	0	2	2	0	2	67.5	22.5	0.146771696479945	-2.23758090050991	0.2	0	0	0	45.7128566417377	45.812839306891	0.0999826651532203	0.199993612244725
6816	100	12	0	12	1	1	0	2	2	0	2	157.5	22.5	2.74745442612144	1.54435378132666	0.2	0	0	0	46.0128655894659	46.1128528870177	0.0999872975517064	0.200026282574981
6891	100	13	0	13	1	1	0	2	2	0	1	112.5	157.5	1.39950265948839	0.936215908518755	0.2	0	0	0	46.3128896534909	46.4128698806744	0.0999802271835506	0.200036766473204
6966	100	14	0	14	1	1	0	2	2	0	2	157.5	112.5	-0.198860603715871	-1.59938330437802	0.2	0	0	0	46.6128964070231	46.7134561697021	0.10055976267904	0.200026526348665
