onset	duration	total_event_number	stream_number	event_num_per_stream	timing_predictability	target_col	target_ori	n_targets	n_distractors	is_target	ori_pair_num	att_ori	unatt_ori	gabor_phase_att	gabor_phase_unatt	blank_dur	response	rt	correct	time_stimon	time_stimoff	stim_dur	ISI_dur
21444.75	100	0	0	0	1	2	90	2	1	3	2	157.5	112.5	-2.601963409988	-0.13800188383237	0.2	0	0	0	104.496537781553	104.596499479143	0.099961697589606	-1
21519.75	100	1	0	1	1	2	90	2	1	3	1	22.5	67.5	-2.499528921462	2.77403339765313	0.2	0	0	0	104.796548436163	104.896511840168	0.0999634040053934	0.200048957020044
21594.75	100	2	0	2	1	2	90	2	1	3	2	157.5	22.5	-0.988748189028203	1.25172287024261	0.2	0	0	0	105.09653251525	105.196515180403	0.0999826651532203	0.20002067508176
21669.75	100	3	0	3	1	2	90	2	1	3	1	112.5	157.5	-1.47807604157787	2.36584220675561	0.2	0	0	0	105.396522202296	105.496497553075	0.0999753507785499	0.200007021892816
21744.75	100	4	0	4	1	2	90	2	1	0	1	112.5	67.5	2.06625928000038	2.77830257554905	0.2	0	0	0	105.69653334422	105.796507963678	0.0999746194574982	0.200035791145638
21819.75	100	5	0	5	1	2	90	2	1	0	1	112.5	67.5	-2.12724394791863	-1.51052616533248	0.2	0	0	0	105.99652863876	106.096513254335	0.0999846155755222	0.20002067508176
21894.75	100	6	0	6	1	2	90	2	1	0	2	157.5	112.5	-2.99647795845957	0.373936274560771	0.2	0	0	0	106.296541487565	106.396520739421	0.0999792518559843	0.200028233230114
21969.75	100	7	0	7	1	2	90	2	1	0	1	22.5	157.5	2.8336259252363	2.7851289152706	0.2	0	0	0	106.596546290675	106.696529199602	0.0999829089269042	0.20002555125393
22044.75	100	8	0	8	1	2	90	2	1	0	2	157.5	22.5	0.177546449347848	2.13628164346043	0.2	0	0	0	106.896559383254	106.996537659783	0.0999782765284181	0.200030183652416
22119.75	100	9	0	9	1	2	90	2	1	0	2	157.5	112.5	-2.2204617351838	-2.27995158085433	0.2	0	0	0	107.196563698584	107.296546607511	0.0999829089269042	0.200026038801298
22194.75	100	10	0	10	1	2	90	2	1	0	1	22.5	67.5	0.271260351977801	-2.37741937677264	0.2	0	0	0	107.496574840741	107.596556530567	0.099981689825654	0.200028233230114
22269.75	100	11	0	11	1	2	90	2	1	0	2	67.5	112.5	-2.97167966881649	-0.363682777301712	0.2	0	0	0	107.796589396195	107.896575230872	0.0999858346767724	0.2000328656286
22344.75	100	12	0	12	1	2	90	2	1	0	2	157.5	112.5	0.1766168262966	-2.68577206613496	0.2	0	0	0	108.096601757221	108.196580765303	0.0999790080823004	0.200026526348665
22419.75	100	13	0	13	1	2	90	2	1	0	2	67.5	112.5	3.00651197771902	-1.62961474213827	0.2	0	0	0	108.39660241548	108.496577766491	0.0999753510113806	0.200021650176495
22494.75	100	14	0	14	1	2	90	2	1	0	2	67.5	22.5	2.28283849204663	-2.68216132489738	0.2	0	0	0	108.696611607214	108.797330089612	0.100718482397497	0.200033840723336
22569.75	100	15	0	15	1	2	90	2	1	0	1	112.5	157.5	1.23274076253176	1.06482489338734	0.2	0	0	0	108.996613728348	109.096598343924	0.0999846155755222	0.199283638736233
22644.75	100	16	0	16	1	2	90	2	1	0	2	67.5	22.5	-1.50095748287697	1.78402261128146	0.2	0	0	0	109.296619019005	109.396602659253	0.0999836402479559	0.20002067508176
22719.75	100	17	0	17	1	2	90	2	1	0	1	112.5	67.5	-0.83754990985014	2.49459064962579	0.2	0	0	0	109.59664015728	109.696621847106	0.099981689825654	0.200037498027086
22794.75	100	18	0	18	1	2	90	2	1	0	2	67.5	112.5	-2.09203659652227	-2.17117589638285	0.2	0	0	0	109.89664788614	109.996629575966	0.099981689825654	0.200026039034128
22869.75	100	19	0	19	1	2	90	2	1	0	1	22.5	67.5	1.70863627053679	1.35792127212417	0.2	0	0	0	110.196661953814	110.296641693218	0.0999797394033521	0.200032377848402
22944.75	100	20	0	20	1	2	90	2	1	0	1	22.5	157.5	0.204784073053014	1.00692138163022	0.2	0	0	0	110.496667244472	110.596645765007	0.0999785205349326	0.20002555125393
23019.75	100	21	0	21	1	2	90	2	1	0	2	67.5	112.5	1.75335359315263	-2.24322911459697	0.2	0	0	0	110.796673510456	110.896658613579	0.09998510312289	0.200027745449916
23094.75	100	22	0	22	1	2	90	2	1	0	2	67.5	22.5	-1.07024640041426	2.40540963554006	0.2	0	0	0	111.096682701958	111.196664392017	0.0999816900584847	0.200024088378996
23169.75	100	23	0	23	1	2	90	2	1	0	1	22.5	157.5	-1.74018049025911	2.9376705088979	0.2	0	0	0	111.396693844115	111.496678947471	0.0999851033557206	0.200029452098534
23244.75	100	24	0	24	1	2	90	2	1	0	2	157.5	112.5	1.95728288874905	-1.76188162145973	0.2	0	0	0	111.6966942586	111.79667960573	0.0999853471294045	0.200015311129391
